,DCIPT_ID,Descr,Descr_caps,english_name,wiki_search,DCIPT_ID_x,DCIPT_DESCR,g_translate
86,90.0,Norfloxacina,NORFLOXACINA,Norfloxacin,,,,
87,91.0,Ofloxacina,OFLOXACINA,Ofloxacin,,,,
88,92.0,Omeprazol,OMEPRAZOL,Omeprazole,,,,
89,93.0,Oxibutinina,OXIBUTININA,Oxybutynin,,,,
90,94.0,Oxitocina,OXITOCINA,Oxytocin,,,,
91,95.0,Paracetamol,PARACETAMOL,Propacetamol,,,,
92,96.0,Piperacilina,PIPERACILINA,Piperacillin,,,,
93,97.0,Piracetam,PIRACETAM,Piracetam,,,,
94,98.0,Piroxicam,PIROXICAM,Piroxicam,,,,
95,99.0,Propofol,PROPOFOL,Propofol,,,,
96,100.0,Propranolol,PROPRANOLOL,Propranolol,,,,
97,101.0,Ranitidina,RANITIDINA,Ranitidine,,,,
98,102.0,Selegilina,SELEGILINA,Selegiline,,,,
99,103.0,Sucralfato,SUCRALFATO,Sucralfate,,,,
100,104.0,Sulfametoxazol + Trimetoprim,SULFAMETOXAZOL + TRIMETOPRIM,associação,,,,
101,105.0,Tamoxifeno,TAMOXIFENO,Tamoxifen,,,,
102,106.0,Terbutalina,TERBUTALINA,Terbutaline,,,,
103,107.0,Tiamina,TIAMINA,Thiamine,,,,
104,108.0,Ticlopidina,TICLOPIDINA,Ticlopidine,,,,
105,109.0,Tilactase,TILACTASE,Tilactase,,,,
106,110.0,Tobramicina,TOBRAMICINA,Tobramycin,,,,
107,111.0,Tramadol,TRAMADOL,Tramadol,,,,
108,112.0,Vancomicina,VANCOMICINA,Vancomycin,,,,
109,113.0,Verapamilo,VERAPAMILO,Verapamil,,,,
110,114.0,Vincristina,VINCRISTINA,Vincristine,,,,
111,115.0,Vinpocetina,VINPOCETINA,Vinpocetine,,,,
112,116.0,Zopiclona,ZOPICLONA,Zopiclone,,,,
113,117.0,Ácido acetilsalicílico,ÁCIDO ACETILSALICÍLICO,Aspirin,Aspirin,,,
114,118.0,Ácido azelaico,ÁCIDO AZELAICO,Azelaic acid,Azelaic acid,,,
115,119.0,Trimetazidina,TRIMETAZIDINA,Trimetazidine,,,,
116,120.0,Loratadina,LORATADINA,Loratadine,,,,
117,121.0,Cetirizina,CETIRIZINA,Cetirizine,,,,
118,122.0,Nabumetona,NABUMETONA,Nabumetone,,,,
119,123.0,Paroxetina,PAROXETINA,Paroxetine,,,,
120,124.0,Abacavir,ABACAVIR,Abacavir,,,,
121,125.0,Abciximab,ABCIXIMAB,Abciximab,,,,
122,126.0,Acamprosato,ACAMPROSATO,Acamprosate,,,,
123,127.0,Acarbose,ACARBOSE,Acarbose,,,,
124,128.0,Acebutolol,ACEBUTOLOL,Acebutolol,,,,
125,129.0,Aceclidina,ACECLIDINA,Aceclidine,,,,
126,130.0,Aceclofenac,ACECLOFENAC,Aceclofenac,,,,
127,131.0,Acemetacina,ACEMETACINA,Acemetacin,,,,
128,132.0,Acenocumarol,ACENOCUMAROL,Acenocoumarol,,,,
129,133.0,Aceponato de hidrocortisona,ACEPONATO DE HIDROCORTISONA,Hydrocortisone,Hydrocortisone,,,
130,134.0,Aceponato de metilprednisolona,ACEPONATO DE METILPREDNISOLONA,Methylprednisolone,Methylprednisolone,,,
131,136.0,Acetato de potássio,ACETATO DE POTÁSSIO,Potassium acetate,Potassium acetate,,,
132,137.0,Acetato de sódio,ACETATO DE SÓDIO,Sodium acetate,Sodium acetate,,,
133,138.0,Acetazolamida,ACETAZOLAMIDA,Acetazolamide,,,,
134,139.0,Acetilcisteína,ACETILCISTEÍNA,Acetylcysteine,Acetylcysteine,,,
135,140.0,Cloreto de acetilcolina,CLORETO DE ACETILCOLINA,Acetylcholine,Acetylcholine,,,
136,141.0,Acetonido de fluocinolona,ACETONIDO DE FLUOCINOLONA,Fluocinolone Acetonide,,141.0,Acetonido de fluocinolona,Fluocinolone Acetonide
137,142.0,Acexamato de zinco,ACEXAMATO DE ZINCO,zinc acexamate,,,,
138,143.0,Acipimox,ACIPIMOX,Acipimox,,,,
139,144.0,Acitretina,ACITRETINA,Acitretin,,,,
140,145.0,Acrivastina,ACRIVASTINA,Acrivastine,,,,
141,146.0,Adapaleno,ADAPALENO,Adapalene,,,,
142,147.0,Adenosina,ADENOSINA,Adenosine,,,,
143,149.0,Adrenalina,ADRENALINA,Adrenalone,,,,
144,151.0,Albendazol,ALBENDAZOL,Albendazole,,,,
145,152.0,Albumina humana,ALBUMINA HUMANA,Albumin human,,,,
146,153.0,Alcatrão mineral,ALCATRÃO MINERAL,Mineral,Mineral,,,
147,154.0,Alclometasona,ALCLOMETASONA,Alclometasone,,,,
148,155.0,Aldesleucina,ALDESLEUCINA,Aldesleukin,,,,
149,156.0,Ácido alendrónico,ÁCIDO ALENDRÓNICO,Alendronic acid,,156.0,Ácido alendrónico,Alendronic acid
150,157.0,Alfatocoferol,ALFATOCOFEROL,alpha-Tocopherol succinate,,,,
151,158.0,Alfacalcidol,ALFACALCIDOL,Alfacalcidol,,,,
152,159.0,Alfentanilo,ALFENTANILO,Alfentanil,,,,
153,160.0,Alfuzosina,ALFUZOSINA,Alfuzosin,,,,
154,161.0,Alitretinoína,ALITRETINOÍNA,Alitretinoin,,,,
155,162.0,Alizaprida,ALIZAPRIDA,Alizapride,,,,
156,163.0,Almitrina,ALMITRINA,Almitrine,,,,
157,164.0,Almotriptano,ALMOTRIPTANO,Almotriptan,,,,
158,165.0,Alprostadilo,ALPROSTADILO,Alprostadil,,,,
159,166.0,Alteplase,ALTEPLASE,Alteplase,,,,
160,167.0,Amantadina,AMANTADINA,Amantadine,,,,
161,168.0,Ambroxol,AMBROXOL,Ambroxol,,,,
162,169.0,Aminaftona,AMINAFTONA,Lunamarine,Lunamarine,,,
163,170.0,Aminofilina,AMINOFILINA,Amdinocillin,,,,
164,171.0,Aminoglutetimida,AMINOGLUTETIMIDA,Aminoglutethimide,,,,
165,172.0,Amissulprida,AMISSULPRIDA,Amisulpride,,,,
166,173.0,Amitriptilina,AMITRIPTILINA,Amitriptyline,,,,
167,174.0,Amlodipina,AMLODIPINA,Amlodipine,,,,
168,175.0,Amorolfina,AMOROLFINA,Amorolfine,,,,
169,176.0,Ampicilina,AMPICILINA,Ampicillin,,,,
170,177.0,Amprenavir,AMPRENAVIR,Amprenavir,,,,
171,178.0,Anastrozol,ANASTROZOL,Anastrozole,,,,
172,179.0,Bupropiom,BUPROPIOM,Bupropion,,,,
173,180.0,Anfotericina B,ANFOTERICINA B,Amphotericin B,,,,
174,182.0,Anistreplase,ANISTREPLASE,Anistreplase,,,,
175,183.0,Amrinona,AMRINONA,Amrinone,,,,
176,184.0,Antitrombina III,ANTITROMBINA III,Antithrombin III human,,,,
177,185.0,Apomorfina,APOMORFINA,Apomorphine,,,,
178,186.0,Apraclonidina,APRACLONIDINA,Apraclonidine,,,,
179,187.0,Aprotinina,APROTININA,Aprotinin,,,,
180,188.0,Arbutamina,ARBUTAMINA,Arbutamine,,,,
181,189.0,Arcitumomab,ARCITUMOMAB,Arcitumomab,,189.0,Arcitumomab,Arcitumomab
182,190.0,Arginina,ARGININA,Arginine,,,,
183,192.0,Aspartato de arginina,ASPARTATO DE ARGININA,arginine aspartate,,192.0,Aspartato de arginina,arginine aspartate
184,193.0,Aspartato de magnésio,ASPARTATO DE MAGNÉSIO,magnesium aspartate,,193.0,Aspartato de magnésio,magnesium aspartate
185,194.0,Atorvastatina,ATORVASTATINA,Atorvastatin,,,,
186,195.0,Atosibano,ATOSIBANO,Atosiban,,,,
187,196.0,Atovaquona,ATOVAQUONA,Atovaquone,,,,
188,197.0,Atropina,ATROPINA,Atropine,,,,
189,198.0,Auranofina,AURANOFINA,Auranofin,,,,
190,199.0,Aurotiomalato de sódio,AUROTIOMALATO DE SÓDIO,Sodium aurothiomalate,Sodium aurothiomalate,,,
191,200.0,Azapropazona,AZAPROPAZONA,Azapropazone,,,,
192,202.0,Azelastina,AZELASTINA,Azelastine,,,,
193,203.0,Azintamida,AZINTAMIDA,Azintamide,,,,
194,204.0,Azitromicina,AZITROMICINA,Azithromycin,,,,
195,205.0,Aztreonam,AZTREONAM,Aztreonam,,,,
196,206.0,Cloreto de metiltionina,CLORETO DE METILTIONINA,Methylthionine chloride,,206.0,Cloreto de metiltionina,Methylthionine chloride
197,207.0,Bacampicilina,BACAMPICILINA,Bacampicillin,,,,
198,209.0,Baclofeno,BACLOFENO,Baclofen,,,,
199,210.0,Bambuterol,BAMBUTEROL,Bambuterol,,,,
200,211.0,Barnidipina,BARNIDIPINA,Barnidipine,,,,
201,212.0,Basiliximab,BASILIXIMAB,Basiliximab,,,,
202,213.0,Becanamicina,BECANAMICINA,Bekanamycin,,,,
203,214.0,Becaplermina,BECAPLERMINA,Becaplermin,,,,
204,215.0,Beclometasona,BECLOMETASONA,Beclometasone,Beclometasone,,,
205,216.0,Benciclano,BENCICLANO,Bencyclane,,,,
206,217.0,Bendazac,BENDAZAC,Bendazac,,,,
207,219.0,Benfluorex,BENFLUOREX,Benfluorex,,,,
208,220.0,Benfotiamina,BENFOTIAMINA,Benfotiamine,,,,
209,221.0,Benzatropina,BENZATROPINA,Benzatropine,,,,
210,222.0,Benzidamina,BENZIDAMINA,Benzydamine,,,,
211,223.0,Benzilpenicilina benzatínica,BENZILPENICILINA BENZATÍNICA,Benzathine Benzylpenicillin,,223.0,Benzilpenicilina benzatínica,Benzathine Benzylpenicillin
212,224.0,Benzilpenicilina,BENZILPENICILINA,Benzylpenicillin,,,,
213,225.0,Benzilpenicilina procaínica,BENZILPENICILINA PROCAÍNICA,procaine benzylpenicillin,,,,
214,226.0,Benzoato de benzilo,BENZOATO DE BENZILO,Benzyl benzoate,Benzyl benzoate,,,
215,227.0,Benzobromarona,BENZOBROMARONA,Benzbromarone,,,,
216,228.0,Benzocaína,BENZOCAÍNA,Benzocaine,,,,
217,229.0,Bepridilo,BEPRIDILO,Bepridil,,,,
218,231.0,Betacaroteno,BETACAROTENO,Beta carotene,,,,
219,232.0,Betametasona,BETAMETASONA,Betamethasone,,,,
220,233.0,Betaxolol,BETAXOLOL,Betaxolol,,,,
221,234.0,Betaína,BETAÍNA,Betaine,Betaine,,,
222,235.0,Bicalutamida,BICALUTAMIDA,Bicalutamide,,,,
223,236.0,Bicarbonato de sódio,BICARBONATO DE SÓDIO,Sodium bicarbonate,Sodium bicarbonate,,,
224,237.0,Biclotimol,BICLOTIMOL,Bimoclomol,,,,
225,238.0,Bifonazol,BIFONAZOL,Bifonazole,,,,
226,239.0,Biperideno,BIPERIDENO,Biperiden,,,,
227,240.0,Bisacodilo,BISACODILO,Bisacodyl,,,,
228,241.0,Bleomicina,BLEOMICINA,Bleomycin,,,,
229,242.0,Brimonidina,BRIMONIDINA,Brimonidine,,,,
230,243.0,Brinzolamida,BRINZOLAMIDA,Brinzolamide,,,,
231,244.0,Bromazepam,BROMAZEPAM,Bromazepam,,,,
232,245.0,Bromelaína,BROMELAÍNA,Bromelains,,,,
233,246.0,Brometo de bibenzónio,BROMETO DE BIBENZÓNIO,Bibenzonium Bromide,,246.0,Brometo de bibenzónio,Bibenzonium Bromide
234,247.0,Brometo de distigmina,BROMETO DE DISTIGMINA,Distigmine bromide,,247.0,Brometo de distigmina,Distigmine bromide
235,248.0,Brometo de domifeno,BROMETO DE DOMIFENO,domiphen bromide,,248.0,Brometo de domifeno,domiphen bromide
236,249.0,Brometo de ipratrópio,BROMETO DE IPRATRÓPIO,Ipratropium bromide,Ipratropium bromide,,,
237,250.0,Brometo de otilónio,BROMETO DE OTILÓNIO,Otilonium bromide,,250.0,Brometo de otilónio,Otilonium bromide
238,251.0,Brometo de pancurónio,BROMETO DE PANCURÓNIO,pancuronium bromide,,251.0,Brometo de pancurónio,pancuronium bromide
239,252.0,Brometo de pinavério,BROMETO DE PINAVÉRIO,Pinaverium bromide,,252.0,Brometo de pinavério,Pinaverium bromide
240,253.0,Brometo de piridostigmina,BROMETO DE PIRIDOSTIGMINA,Pyridostigmine,Pyridostigmine,,,
241,254.0,Brometo de rocurónio,BROMETO DE ROCURÓNIO,rocuronium bromide,,254.0,Brometo de rocurónio,rocuronium bromide
242,255.0,Bromperidol,BROMPERIDOL,Bromperidol,,,,
243,256.0,Brotizolam,BROTIZOLAM,Brotizolam,,,,
244,257.0,Brovanexina,BROVANEXINA,Brovanexine,,,,
245,258.0,Buclizina,BUCLIZINA,Buclizine,,,,
246,259.0,Bufenina,BUFENINA,Bufotenine,,,,
247,260.0,Bufexamac,BUFEXAMAC,Bufexamac,,,,
248,261.0,Buflomedil,BUFLOMEDIL,Buflomedil,,,,
249,262.0,Bumetanida,BUMETANIDA,Bumetanide,,,,
250,263.0,Bupivacaína,BUPIVACAÍNA,Bupivacaine,,,,
251,264.0,Buprenorfina,BUPRENORFINA,Buprenorphine,,,,
252,265.0,Buserrelina,BUSERRELINA,Buserelin,,,,
253,266.0,Buspirona,BUSPIRONA,Buspirone,,,,
254,267.0,Bussulfano,BUSSULFANO,Busulfan,,,,
255,268.0,Butamirato,BUTAMIRATO,Butamirate,,,,
256,269.0,Butilescopolamina,BUTILESCOPOLAMINA,Butylscopolamine,,,,
257,270.0,Butirato de hidrocortisona,BUTIRATO DE HIDROCORTISONA,Hydrocortisone,Hydrocortisone,,,
258,271.0,Cabergolina,CABERGOLINA,Cabergoline,,,,
259,272.0,Cadexómero,CADEXÓMERO,Cadexomer,,272.0,Cadexómero,Cadexomer
260,273.0,Calcifediol,CALCIFEDIOL,Calcifediol,,,,
261,274.0,Calcipotriol,CALCIPOTRIOL,Calcipotriol,,,,
262,275.0,Calcitonina humana,CALCITONINA HUMANA,human calcitonin,,275.0,Calcitonina humana,human calcitonin
263,276.0,Candesartan,CANDESARTAN,Candesartan,,,,
264,277.0,Capecitabina,CAPECITABINA,Capecitabine,,,,
265,278.0,Carbasalato cálcico,CARBASALATO CÁLCICO,Calcium Carbasalate,,278.0,Carbasalato cálcico,Calcium Carbasalate
266,279.0,Carbazocromo,CARBAZOCROMO,Carbazochrome,,,,
267,280.0,Carbenoxolona,CARBENOXOLONA,Carbenoxolone,,,,
268,281.0,Carbocisteína,CARBOCISTEÍNA,Carbocisteine,,,,
269,282.0,Carbonato de cálcio,CARBONATO DE CÁLCIO,Calcium carbonate,Calcium carbonate,,,
270,283.0,Carmelose,CARMELOSE,Carmellose,,283.0,Carmelose,Carmellose
271,284.0,Carbómero,CARBÓMERO,Carbomer,,,,
272,285.0,Carmustina,CARMUSTINA,Carmustine,,,,
273,286.0,Carteolol,CARTEOLOL,Carteolol,,,,
274,287.0,Carvedilol,CARVEDILOL,Carvedilol,,,,
275,288.0,Carvão activado,CARVÃO ACTIVADO,activated carbon,,288.0,Carvão activado,activated carbon
276,289.0,Cefaclor,CEFACLOR,Cefaclor,,,,
277,290.0,Cefadroxil,CEFADROXIL,Cefadroxil,,,,
278,291.0,Cefalexina,CEFALEXINA,Cephalexin,,,,
279,292.0,Cefamandol,CEFAMANDOL,Cefamandole,,,,
280,293.0,Cefatrizina,CEFATRIZINA,Cefatrizine,,,,
281,294.0,Cefedinir,CEFEDINIR,Cefdinir,,,,
282,295.0,Cefepima,CEFEPIMA,Cefepime,,,,
283,296.0,Cefetamet,CEFETAMET,Cefetamet,,,,
284,298.0,Cefixima,CEFIXIMA,Cefixime,,,,
285,299.0,Cefeminox,CEFEMINOX,Cefminox,,,,
286,300.0,Cefodizima sódica,CEFODIZIMA SÓDICA,Sodic Cephodizime,,300.0,Cefodizima sódica,Sodic Cephodizime
287,301.0,Cefoperazona,CEFOPERAZONA,Cefoperazone,,,,
288,302.0,Cefotetano,CEFOTETANO,Cefotetan,,,,
289,303.0,Cefepiroma,CEFEPIROMA,Cefpirome,,,,
290,304.0,Cefpodoxima,CEFPODOXIMA,Cefpodoxime,,,,
291,305.0,Cefeprozil,CEFEPROZIL,Cefprozil,,,,
292,306.0,Cefradina,CEFRADINA,Cefradine,,,,
293,307.0,Ceftazidima,CEFTAZIDIMA,Ceftazidime,,,,
294,308.0,Ceftibuteno,CEFTIBUTENO,Ceftibuten,,,,
295,309.0,Ceftizoxima,CEFTIZOXIMA,Ceftizoxime,,,,
296,311.0,Celecoxib,CELECOXIB,Celecoxib,,,,
297,312.0,Celiprolol,CELIPROLOL,Celiprolol,,,,
298,313.0,Cerivastatina,CERIVASTATINA,Cerivastatin,,,,
299,314.0,Ceruletida,CERULETIDA,Ceruletide,,,,
300,315.0,Cetamina,CETAMINA,Ketamine,Ketamine,,,
301,316.0,Cetanserina,CETANSERINA,Ketanserin,,,,
302,317.0,Cetazolam,CETAZOLAM,Ketazolam,,,,
303,318.0,Cloreto de cetilpiridínio,CLORETO DE CETILPIRIDÍNIO,Cetylpyridinium chloride,Cetylpyridinium chloride,,,
304,320.0,Cetoconazol,CETOCONAZOL,Ketoconazole,,,,
305,321.0,Cetorolac,CETOROLAC,Ketorolac,,,,
306,322.0,Cetotifeno,CETOTIFENO,Ketotifen,,,,
307,323.0,Cetrimida,CETRIMIDA,Cetrimide,,323.0,Cetrimida,Cetrimide
308,324.0,Cetrorrelix,CETRORRELIX,Cetrorelix,,,,
309,325.0,Ciamemazina,CIAMEMAZINA,Cyamemazine,,,,
310,326.0,Cianocobalamina,CIANOCOBALAMINA,Cyanocobalamin,,,,
311,327.0,Ciclandelato,CICLANDELATO,Cyclandelate,,,,
312,329.0,Ciclobenzaprina,CICLOBENZAPRINA,Cyclobenzaprine,,,,
313,330.0,Ciclofosfamida,CICLOFOSFAMIDA,Cyclophosphamide,Cyclophosphamide,,,
314,331.0,Ciclopentolato,CICLOPENTOLATO,Cyclopentolate,,,,
315,332.0,Ciclopirox olamina,CICLOPIROX OLAMINA,Cyclopyrox olamine,,,,
316,333.0,Ciclosporina,CICLOSPORINA,Cyclosporine,,,,
317,334.0,Cidofovir,CIDOFOVIR,Cidofovir,,,,
318,335.0,Cilazapril,CILAZAPRIL,Cilazapril,,,,
319,336.0,Cilnidipina,CILNIDIPINA,Cilnidipine,,,,
320,337.0,Cinchocaína,CINCHOCAÍNA,Cinchocaine,,,,
321,338.0,Cinoxacina,CINOXACINA,Cinoxacin,,,,
322,339.0,Ciprofibrato,CIPROFIBRATO,Ciprofibrate,,,,
323,340.0,Cipro-heptadina,CIPRO-HEPTADINA,Cyproheptadine,,,,
324,341.0,Cisaprida,CISAPRIDA,Cisapride,,,,
325,342.0,Besilato de cisatracúrio,BESILATO DE CISATRACÚRIO,Cisatracurium besilate,Cisatracurium besilate,,,
326,343.0,Citalopram,CITALOPRAM,Citalopram,,,,
327,344.0,Citicolina,CITICOLINA,Citicoline,,,,
328,345.0,Citrato de potássio,CITRATO DE POTÁSSIO,Potassium citrate,Potassium citrate,,,
329,346.0,Citrato de sódio,CITRATO DE SÓDIO,Trisodium citrate,Trisodium citrate,,,
330,347.0,Citrato férrico de amónio,CITRATO FÉRRICO DE AMÓNIO,Ferric Ammonium Citrate,,347.0,Citrato férrico de amónio,Ferric Ammonium Citrate
331,348.0,Citrulina,CITRULINA,Citrulline,,,,
332,349.0,Cladribina,CLADRIBINA,Cladribine,,,,
333,350.0,Claritromicina,CLARITROMICINA,Clarithromycin,,,,
334,351.0,Cleboprida,CLEBOPRIDA,Clebopride,,,,
335,352.0,Clemastina,CLEMASTINA,Clemastine,,,,
336,353.0,Clenbuterol,CLENBUTEROL,Clenbuterol,,,,
337,355.0,Clioquinol,CLIOQUINOL,Clioquinol,,,,
338,356.0,Clobazam,CLOBAZAM,Clobazam,,,,
339,357.0,Clobetasol,CLOBETASOL,Clobetasol,,,,
340,358.0,Clobetasona,CLOBETASONA,Clobetasone,,,,
341,359.0,Clobutinol,CLOBUTINOL,Clobutinol,,,,
342,360.0,Ácido clodrónico,ÁCIDO CLODRÓNICO,Clodronic acid,,360.0,Ácido clodrónico,Clodronic acid
343,361.0,Clofibrato,CLOFIBRATO,Clofibrate,,,,
344,362.0,Clofoctol,CLOFOCTOL,Clofoctol,,,,
345,363.0,Clometiazol,CLOMETIAZOL,Clomethiazole,,,,
346,364.0,Clomifeno,CLOMIFENO,Clomifene,,,,
347,365.0,Clomipramina,CLOMIPRAMINA,Clomipramine,,,,
348,366.0,Clonazepam,CLONAZEPAM,Clonazepam,,,,
349,367.0,Clonidina,CLONIDINA,Clonidine,,,,
350,368.0,Clonixina,CLONIXINA,Clonixin,,,,
351,369.0,Clopidogrel,CLOPIDOGREL,Clopidogrel,,,,
352,370.0,Cloranfenicol,CLORANFENICOL,Chloramphenicol,,,,
353,371.0,Clorazepato dipotássico,CLORAZEPATO DIPOTÁSSICO,Dipotassium Chlorazepate,,371.0,Clorazepato dipotássico,Dipotassium Chlorazepate
354,372.0,Cloreto de amónio,CLORETO DE AMÓNIO,Ammonium chloride,Ammonium chloride,,,
355,373.0,Cloreto de benzalcónio,CLORETO DE BENZALCÓNIO,Benzalkonium chloride,Benzalkonium chloride,,,
356,374.0,Cloreto de cálcio,CLORETO DE CÁLCIO,Calcium chloride,Calcium chloride,,,
357,376.0,Cloreto de magnésio,CLORETO DE MAGNÉSIO,Magnesium chloride,Magnesium chloride,,,
358,377.0,Cloreto de mivacúrio,CLORETO DE MIVACÚRIO,Mivacurium chloride,Mivacurium chloride,,,
359,378.0,Cloreto de potássio,CLORETO DE POTÁSSIO,Potassium chloride,Potassium chloride,,,
